,Close
0,100.0
1,106.71389781848342
2,100.9038824621906
3,93.12660773435319
4,91.20167711265056
5,96.40780511577923
6,101.18968844083875
7,102.82017306796412
8,101.55958084057556
9,95.807803682349
10,100.93429042704396
11,106.59399313037427
12,101.94729979069712
13,104.45231684386525
14,108.9687046240036
15,107.84285278399153
16,102.5024501574032
17,90.4587279739799
18,81.09969194263655
19,81.39452363739213
20,83.14837529383846
21,91.59287261777843
22,84.19071147038007
23,83.82268157284126
24,79.61878188460155
25,79.56856582028915
26,84.86599030115015
27,83.51882909000086
28,88.91171564842847
29,90.62535939379181
30,94.16446345414032
31,93.14921201581755
32,90.91156283441322
33,94.31743927116443
34,90.42278618804635
35,85.23364982885093
36,81.36277862464397
37,87.184659202767
38,86.47823001716742
39,88.394745026978
40,93.31932506570368
41,98.87013506797166
42,101.39994144597829
43,101.36545647451183
44,105.16823690378179
45,108.44271771198079
46,106.34459903679118
47,103.6889910687676
48,100.2316765980276
49,101.8115588948069
50,97.00441359331838
51,93.25585030141244
52,91.22543497730811
53,91.06033438084064
54,93.6319159170619
55,96.56308835388391
56,98.90970009480338
57,94.8186057175237
58,97.37911752118168
59,96.10456038080292
60,93.49714615872797
61,97.60844167693705
62,98.74191375340128
63,96.418693196521
64,100.5575000576453
65,103.61610157731236
66,108.44210820962176
67,105.83351548505804
68,110.60826391607688
69,120.38195441273432
70,139.05922185656323
71,134.04184826468193
72,139.1976312963694
73,144.43153975787897
74,139.75624898246977
75,137.74595648651402
76,135.9906421605541
77,141.70370634908883
78,151.63535306391856
79,150.8791165893464
80,161.7366035866272
81,172.31225950593262
82,182.91829266781846
83,178.87295034813766
84,194.5841342905405
85,197.64215029143554
86,196.39315045916257
87,190.72741652636677
88,185.15197143553033
89,188.96819405069388
90,180.48720363373747
91,181.5680098625932
92,186.02080329034303
93,186.80993357753817
94,179.479976178997
95,168.35803082508954
96,179.8184940780082
97,182.0625711220672
98,180.7602386992729
99,170.22351568644714
100,172.32633147211394
101,163.35071541263994
102,141.8610508200557
103,135.066294036187
104,139.01441774195183
105,135.6993237086505
106,124.96704813672976
107,122.95827463042815
108,122.94885591363011
109,128.8979382969871
110,128.06622500969124
111,120.93551739954107
112,116.1548049031567
113,120.16735116445882
114,125.41742021976638
115,128.570206078168
116,135.57168288171576
117,146.9385873050227
118,145.59505960779103
119,141.20648440742264
120,141.19422321460027
121,149.96888093688204
122,160.30882308753073
123,170.9221605786148
124,164.41324450506653
125,169.97703914081313
126,174.12476106442182
127,172.83109306547126
128,175.32423980697178
